Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0603,2,1uF,
D1,SOT-143,1,PRTR5V0U2X,
F1,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,1,Fuse,
J1,C64-Cassette-Port-Female,1,C64-CassettePort,
J10 - 5V POWER OUT,C64-Cassette-Port-Male,1,Power for external devices,
"J2, J3",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
"J4, J5",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
"J6, J7",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04,
"J8, J9",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,Conn_01x04,
"Q1, Q2",Q_SOT-323,2,BSS138W,C28646265
"R1, R2, R3, R4",R_0603,4,4k7,
"R7, R8",R_0603,2,75,
U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
