Designator,Mid X,Mid Y,Rotation,Layer
C1,24.5,20.0,270.0,top
C2,17.39,20.0,180.0,top
D1,5.0,7.0,270.0,top
F1,20.25,11.0,0.0,top
J1,20.35,2.5,0.0,top
J10 - 5V POWER OUT,28.21,49.5,0.0,top
J2,7.99,18.975,270.0,top
J3,33.25,18.975,270.0,top
J4,7.98,23.975,270.0,top
J5,33.24,23.975,270.0,top
J6,7.99,29.45,180.0,top
J7,33.25,29.45,180.0,top
J8,7.99,36.5,180.0,top
J9,33.25,36.5,180.0,top
Q1,21.39,32.0,0.0,top
Q2,22.39,29.0,0.0,top
R1,25.0,24.0,0.0,top
R2,20.5,38.0,0.0,top
R3,25.0,26.0,0.0,top
R4,16.5,32.5,0.0,top
R7,5.077383,9.5,180.0,top
R8,5.0,4.0,180.0,top
U1,21.39,20.0,180.0,top
